Date,Open,High,Low,Close,Adj Close,Volume,Day 
2022-09-23,58.259998,58.619999,57.32,58.380001,57.225285,4600300,0
2022-09-26,58.48,59.48,57.369999,57.470001,56.333286,3324700,1
2022-09-27,58.310001,59,57.34,58.099998,56.950817,3674600,2
2022-09-28,58.290001,60.459999,58.209999,60.099998,58.911263,5919700,3
2022-09-29,58.84,58.91,56.790001,57.32,56.186249,5657000,4
2022-09-30,56.59,57.970001,55.32,56.439999,55.32365,7558000,5
2022-10-03,57.189999,58.349998,56.189999,57.810001,56.666557,4631700,6
2022-10-04,59.349998,60.509998,59.330002,60.470001,59.273945,5737600,7
2022-10-05,59.310001,60.43,58.66,60.009998,58.82304,3749100,8
2022-10-06,59.959999,60.869999,59.32,59.619999,58.440754,3285200,9
2022-10-07,58.810001,59.049999,57.73,58.259998,57.107655,4143800,10
2022-10-10,58.400002,58.68,57.240002,57.990002,56.843002,2619800,11
2022-10-11,57.939999,59.860001,57.27,58.630001,57.470337,4476300,12
2022-10-12,58.66,59,58.02,58.48,57.323307,3506300,13
2022-10-13,57.220001,59.689999,56.279999,59.23,58.058468,7036300,14
2022-10-14,59.740002,60.139999,57.330002,57.330002,56.196053,4166900,15
2022-10-17,58.599998,59.290001,58.580002,58.959999,57.793804,3876900,16
2022-10-18,60.41,61.060001,59.220001,59.84,58.656403,4067000,17
2022-10-19,59.200001,59.619999,57.330002,58.18,57.029236,4393800,18
2022-10-20,58.16,59.439999,57.259998,57.43,56.294071,4987800,19
2022-10-21,57.52,59,57.139999,58.84,57.676186,3640100,20
2022-10-24,59.34,59.77,58.150002,59.580002,58.40155,3960100,21
2022-10-25,59.68,62.259998,59.68,61.959999,60.734474,4739400,22
2022-10-26,62.040001,63.240002,61.529999,61.84,60.616844,3325900,23
2022-10-27,62.439999,63.220001,61.990002,62.240002,61.008938,3719300,24
2022-10-28,62.049999,63.27,61.169998,63.169998,61.92054,5121400,25
2022-10-31,63.060001,63.540001,62.549999,62.75,61.508842,3895500,26
2022-11-01,63.790001,64.230003,62.610001,63.02,61.773506,3573200,27
2022-11-02,63.060001,63.259998,60.380001,60.380001,59.185726,5286900,28
2022-11-03,59.970001,61.630001,59.529999,60.93,59.724846,3859500,29
2022-11-04,62.060001,62.060001,59.75,60.82,59.617023,4424900,30
2022-11-07,61.27,61.619999,60.060001,61.400002,60.185551,4573200,31
2022-11-08,61.830002,62.439999,60.540001,61.580002,60.361992,4532000,32
2022-11-09,61.169998,61.34,59.32,59.41,58.234905,4839000,33
2022-11-10,62.459999,64.290001,62.18,64.059998,62.792934,6380600,34
2022-11-11,64.220001,66.080002,63.990002,65.559998,64.263268,4566900,35
2022-11-14,64.980003,65.940002,64.629997,64.760002,63.479095,5294200,36
2022-11-15,66.540001,67.550003,66.029999,66.43,65.116058,6044000,37
2022-11-16,64.190002,64.720001,63.599998,63.959999,62.694912,6744600,38
2022-11-17,63.299999,64.360001,62.830002,64.330002,63.057598,6770100,39
2022-11-18,66.059998,66.110001,64.190002,64.949997,63.665333,4800000,40
2022-11-21,64.5,64.809998,64.120003,64.669998,63.390865,3087700,41
2022-11-22,65.849998,66.449997,65.400002,66.419998,65.106247,3864800,42
2022-11-23,66.169998,66.800003,65.889999,66.639999,65.321907,3291700,43
2022-11-25,66.589996,67.010002,66.309998,66.599998,65.282692,1507200,44
2022-11-28,66.089996,66.870003,65.720001,65.980003,64.674965,4236300,45
2022-11-29,65.839996,66.410004,65.559998,66,64.694565,3624200,46
2022-11-30,66.290001,67.32,65.370003,67.279999,65.949242,7705500,47
2022-12-01,67.230003,67.550003,66.019997,66.370003,65.057251,6862800,48
2022-12-02,65.360001,67.220001,65.360001,67.019997,65.694389,3323700,49
2022-12-05,66.459999,66.559998,65.120003,65.400002,64.106438,4598100,50
2022-12-06,65.57,65.760002,64.370003,64.93,63.645729,4295200,51
2022-12-07,64.839996,65.620003,64.239998,64.870003,63.586922,3352500,52
2022-12-08,65.160004,65.93,64.699997,65.470001,64.175049,4774600,53
2022-12-09,64.739998,65.029999,64.110001,64.209999,62.939972,5891700,54
2022-12-12,64.410004,64.610001,63.720001,64.550003,63.273254,3943300,55
2022-12-13,67.199997,67.199997,63.98,64.18,62.910561,5922700,56
2022-12-14,64.029999,64.809998,63.150002,64.190002,62.920368,6963600,57
2022-12-15,63.389999,63.43,62.080002,62.32,61.087353,5521500,58
2022-12-16,61.799999,62.279999,61.23,61.549999,60.332581,6133800,59
2022-12-19,61.080002,61.360001,59.650002,59.880001,59.219017,3645500,60
2022-12-20,59.619999,60.080002,58.860001,59.09,58.437733,3713600,61
2022-12-21,60,60.68,59.830002,60.380001,59.713493,5297200,62
2022-12-22,59.43,59.529999,58.209999,59.290001,58.635525,5065400,63
2022-12-23,59.299999,60.389999,58.84,60.389999,59.723381,3695400,64
2022-12-27,60.290001,60.560001,59.560001,59.700001,59.041,2546200,65
2022-12-28,59.68,60.029999,58.540001,58.82,58.170715,3635000,66
2022-12-29,59.25,60.470001,59.09,60.279999,59.614597,2329100,67
2022-12-30,59.68,60.490002,59.549999,60.450001,59.782722,3219100,68
2023-01-03,61.029999,61.369999,59.740002,60.029999,59.367355,3433500,69
2023-01-04,60.48,62.049999,60.299999,61.619999,60.939808,4859600,70
2023-01-05,60.84,61.41,60.110001,61.150002,60.474995,4194500,71
2023-01-06,61.630001,62.91,61.279999,62.75,62.057327,3889300,72
2023-01-09,62.779999,63.41,62.290001,62.459999,61.770535,5877000,73
2023-01-10,62.57,63.939999,62.369999,63.919998,63.214413,3585000,74
2023-01-11,64.209999,65.449997,64.209999,65.43,64.707748,5652500,75
2023-01-12,65.800003,66.019997,64.559998,66.010002,65.281342,4131200,76
2023-01-13,65.080002,66.379997,65.029999,65.989998,65.261566,3911200,77
2023-01-17,65.699997,66.190002,65.290001,65.730003,65.00444,6255800,78
2023-01-18,66.360001,67.160004,64.699997,64.739998,64.02536,6398900,79
2023-01-19,64.150002,64.389999,63.099998,63.529999,62.82872,4689300,80
